Day of Week,Date,d1,d2,Event,Date Wikipedia,Event Wikipedia,Date UFC,Event UFC,Date Fightmetric,Event Fightmetric,Date MMAFighting,Event MMAFighting,Date Sherdog,Event Sherdog
Saturday,4/20/2013,FALSE,FALSE,UFC on Fox: Henderson vs. Melendez,4/20/2013,UFC on Fox: Henderson vs. Melendez,4/20/2013,UFC on FOX 7 - Live from San Jose,4/20/2013,UFC on FOX: Henderson vs Melendez,4/20/2013,UFC on FOX 7 weigh-in results,4/20/2013,UFC on Fox 7 - Henderson vs. Melendez
Saturday,4/13/2013,FALSE,FALSE,Ultimate Fighter 17: Team Jones vs. Team Sonnen Finale,4/13/2013,Ultimate Fighter 17 !The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,4/13/2013,The Ultimate Fighter 17 Finale - Live from Las Vegas,4/13/2013,The Ultimate Fighter 17 Finale,4/13/2013,TUF 17 weigh-in results,4/13/2013,UFC - The Ultimate Fighter 17 Finale
Saturday,4/6/2013,FALSE,FALSE,UFC on Fuel TV: Mousasi vs. Latifi,4/6/2013,UFC on Fuel TV: Mousasi vs. Latifi,4/6/2013,UFC on FUEL TV 9 - Live from Stockholm,4/6/2013,UFC on FUEL TV 9: Mousasi vs Latifi,4/6/2013,UFC on FUEL 9 weigh-in results: Latifi on target in hopes of upset against heavy favorite Mousasi,4/6/2013,UFC on Fuel TV 9 - Mousasi vs. Latifi
Saturday,3/16/2013,FALSE,FALSE,UFC 158: St-Pierre vs. Diaz,3/16/2013,UFC 158: St-Pierre vs. Diaz,3/16/2013,UFC 158 - Live on Pay-Per View,3/16/2013,UFC 158: St-Pierre vs Diaz,3/16/2013,UFC 158: St-Pierre vs. Diaz weigh-in results,3/16/2013,UFC 158 - St. Pierre vs. Diaz
Saturday,3/2/2013,FALSE,FALSE,UFC on Fuel TV: Silva vs. Stann,3/3/2013,UFC on Fuel TV: Silva vs. Stann,3/2/2013,UFC on FUEL TV 8 - Japan 2013,3/2/2013,UFC on FUEL TV: Japan,3/2/2013,UFC on FUEL TV 8 weigh-in results,3/3/2013,UFC on Fuel TV 8 - Silva vs. Stann
Saturday,2/23/2013,FALSE,FALSE,UFC 157: Rousey vs. Carmouche,2/23/2013,UFC 157: Rousey vs. Carmouche,2/23/2013,UFC 157,2/23/2013,UFC 157: Rousey vs Carmouche,2/23/2013,UFC 157 weigh-in results: Ronda Rousey and Liz Carmouche make weight,2/23/2013,UFC 157 - Rousey vs. Carmouche
Saturday,2/16/2013,FALSE,FALSE,UFC on Fuel TV: Baro vs. McDonald,2/16/2013,UFC on Fuel TV: Baro vs. McDonald,2/16/2013,UFC on FUEL TV 7 - Live from London,2/16/2013,UFC on FUEL TV: Barao vs McDonald,2/16/2013,UFC on FUEL 7: Barao vs. McDonald weigh-in results,2/16/2013,UFC on Fuel TV 7 - Barao vs. McDonald
Saturday,2/2/2013,FALSE,FALSE,UFC 156: Aldo vs. Edgar,2/2/2013,UFC 156: Aldo vs. Edgar,2/2/2013,UFC 156 - Live on Pay-Per-View,2/2/2013,UFC 156: Aldo vs Edgar,2/2/2013,UFC 156: Aldo vs. Edgar weigh-in results,2/2/2013,UFC 156 - Aldo vs. Edgar
Saturday,1/26/2013,FALSE,FALSE,UFC on Fox: Johnson vs. Dodson,1/26/2013,UFC on Fox: Johnson vs. Dodson,1/26/2013,UFC on FOX 6 - Live from Chicago,1/26/2013,UFC on Fox: Johnson vs Dodson,1/26/2013,UFC on FOX 6 weigh-in results,1/26/2013,UFC on Fox 6 - Johnson vs. Dodson
Saturday,1/19/2013,FALSE,FALSE,UFC on FX: Belfort vs. Bisping,1/19/2013,UFC on FX: Belfort vs. Bisping,1/19/2013,UFC on FX 7 - Live from Brazil,1/19/2013,UFC on FX: Belfort vs Bisping,1/19/2013,UFC on FX 7: Belfort vs. Bisping weigh-in results,1/19/2013,UFC on FX 7 - Belfort vs. Bisping
Saturday,12/29/2012,FALSE,FALSE,UFC 155: Dos Santos vs. Velasquez 2,12/29/2012,UFC 155: dos Santos vs. Velasquez 2,12/29/2012,UFC 155 Live on Pay-Per-View - Live on Pay-Per-View,12/29/2012,UFC 155: Dos Santos vs Velasquez II,12/29/2012,"UFC 155 weigh-in results: Junior Dos Santos, Cain Velasquez make weight",12/29/2012,UFC 155 - Dos Santos vs. Velasquez 2
Saturday,12/15/2012,TRUE,FALSE,Ultimate Fighter 16: Team Carwin vs. Team Nelson Finale,12/15/2012,Ultimate Fighter 16 !The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,12/15/2012,The Ultimate Fighter 16,12/15/2012,The Ultimate Fighter 16 Finale,12/15/2012,TUF 16 Weigh-In Results,12/15/2012,UFC - The Ultimate Fighter 16 Finale
Saturday,12/14/2012,FALSE,FALSE,UFC on FX: Sotiropoulos vs. Pearson,12/15/2012,UFC on FX: Sotiropoulos vs. Pearson,12/14/2012,UFC on FX 6,12/14/2012,UFC on FX: Sotiropoulos vs Pearson,12/14/2012,UFC on FX 6 weigh-in results: All fighters make weight,12/15/2012,UFC on FX 6 - Sotiropoulos vs. Pearson
Saturday,12/8/2012,FALSE,FALSE,UFC on Fox: Henderson vs. Diaz,12/8/2012,UFC on Fox: Henderson vs. Diaz,12/8/2012,UFC on FOX 5,12/8/2012,UFC on Fox: Henderson vs Diaz,12/8/2012,"UFC on FOX 5 weigh-in results: Nate Diaz initially misses weight, makes 155-pound limit on third attempt",12/8/2012,UFC on Fox 5 - Henderson vs. Diaz
Saturday,11/17/2012,FALSE,FALSE,UFC 154: St-Pierre vs. Condit,11/17/2012,UFC 154: St-Pierre vs. Condit,11/17/2012,UFC 154 Live on Pay-Per-View,11/17/2012,UFC 154: St-Pierre vs Condit,11/17/2012,UFC 154: St-Pierre vs. Condit weigh-in results,11/17/2012,UFC 154 - St. Pierre vs. Condit
Saturday,11/10/2012,FALSE,FALSE,UFC on Fuel TV: Franklin vs. Le,11/10/2012,UFC on Fuel TV: Franklin vs. Le,11/10/2012,UFC Macao,11/10/2012,UFC Macao: Franklin vs Le,11/10/2012,UFC on FUEL 6: Rich Franklin vs. Cung Le weigh-in results from Macao,11/10/2012,UFC on Fuel TV 6 - Franklin vs. Le
Saturday,10/13/2012,FALSE,FALSE,UFC 153: Silva vs. Bonnar,10/13/2012,UFC 153: Silva vs. Bonnar,10/13/2012,UFC 153 Live on Pay-Per-View,10/13/2012,UFC 153: Silva vs Bonnar,10/13/2012,"UFC 153 weigh-in results: Silva, Bonnar make weight",10/13/2012,UFC 153 - Silva vs. Bonnar
Friday,10/5/2012,FALSE,FALSE,UFC on FX: Browne vs. Bigfoot,10/5/2012,UFC on FX: Browne vs. Bigfoot,10/5/2012,UFC on FX 5,10/5/2012,UFC on FX: Browne vs Bigfoot,10/5/2012,UFC on FX 5 weigh-in results: Main-card fighters make weight; Hallman-Tavares off,10/5/2012,UFC on FX 5 - Browne vs. Bigfoot
Saturday,9/29/2012,FALSE,FALSE,UFC on Fuel TV: Struve vs. Miocic,9/29/2012,UFC on Fuel TV: Struve vs. Miocic,9/29/2012,UFC on FUEL TV 5,9/29/2012,UFC on FUEL TV: Struve vs Miocic,9/29/2012,UFC on FUEL TV 5 weigh-in results,9/29/2012,UFC on Fuel TV 5 - Struve vs. Miocic
Saturday,9/22/2012,FALSE,FALSE,UFC 152: Jones vs. Belfort,9/22/2012,UFC 152: Jones vs. Belfort,9/22/2012,UFC 152 Live on Pay-Per-View,9/22/2012,UFC 152: Jones vs Belfort,9/22/2012,UFC 152: Jones vs. Belfort Weigh-In Results,9/22/2012,UFC 152 - Jones vs. Belfort
Saturday,9/1/2012,FALSE,FALSE,UFC 151: Jones vs. Henderson,9/1/2012,UFC 151: Jones vs. Henderson,9/1/2012,,9/1/2012,,9/1/2012,,9/1/2012,
Saturday,8/11/2012,FALSE,FALSE,UFC 150: Henderson vs. Edgar II,8/11/2012,UFC 150: Henderson vs. Edgar II,8/11/2012,UFC 150 Live on Pay-Per-View,8/11/2012,UFC 150: Henderson vs Edgar II,8/11/2012,UFC 150: Henderson vs. Edgar 2 Weigh-In Results,8/11/2012,UFC 150 - Henderson vs. Edgar 2
Saturday,8/4/2012,FALSE,FALSE,UFC on Fox: Shogun vs. Vera,8/4/2012,UFC on Fox: Shogun vs. Vera,8/4/2012,UFC on FOX 4,8/4/2012,UFC on FOX: Shogun vs Vera,8/4/2012,UFC on FOX 4 Weigh-In Results,8/4/2012,UFC on Fox 4 - Shogun vs. Vera
Saturday,7/21/2012,FALSE,FALSE,UFC 149: Faber vs. Baro,7/21/2012,UFC 149: Faber vs. Baro,7/21/2012,UFC 149 Live on Pay-Per-View,7/21/2012,UFC 149: Faber vs Barao,7/21/2012,UFC 149: Faber vs. Barao Weigh-In Results,7/21/2012,UFC 149 - Faber vs. Barao
Wednesday,7/11/2012,FALSE,FALSE,UFC on Fuel TV: Muoz vs. Weidman,7/11/2012,UFC on Fuel TV: Muoz vs. Weidman,7/11/2012,UFC on FUEL TV 4,7/11/2012,UFC on FUEL TV: Munoz vs Weidman,7/11/2012,UFC on Fuel TV 4 Weigh-In Results: All Fighters Make Weight,7/11/2012,UFC on Fuel TV 4 - Munoz vs. Weidman
Saturday,7/7/2012,FALSE,FALSE,UFC 148: Silva vs. Sonnen II,7/7/2012,UFC 148: Silva vs. Sonnen II,7/7/2012,UFC 148 Live on Pay-Per-View,7/7/2012,UFC 148: Silva vs Sonnen 2,7/7/2012,UFC 148 Weigh-In Results: Anderson Silva Hits Chael Sonnen,7/7/2012,UFC 148 - Silva vs. Sonnen 2
Saturday,6/23/2012,FALSE,FALSE,UFC 147: Silva vs. Franklin II,6/23/2012,UFC 147: Silva vs. Franklin II,6/23/2012,UFC 147 Live on Pay-Per-View,6/23/2012,UFC 147: Silva vs Franklin 2,6/23/2012,UFC 147 Weigh-In Results,6/23/2012,UFC 147 - Silva vs. Franklin 2
Friday,6/22/2012,FALSE,FALSE,UFC on FX: Maynard vs. Guida,6/22/2012,UFC on FX: Maynard vs. Guida,6/22/2012,UFC on FX 4,6/22/2012,UFC on FX: Maynard vs Guida,6/22/2012,UFC on FX 4 Weigh-In Results,6/22/2012,UFC on FX 4 - Maynard vs. Guida
Friday,6/8/2012,FALSE,FALSE,UFC on FX: Johnson vs. McCall,6/8/2012,UFC on FX: Johnson vs. McCall,6/8/2012,UFC on FX 3,6/8/2012,UFC on FX: Johnson vs McCall,6/8/2012,UFC on FX 3 Weigh-In Results: Johnson vs. McCall,6/8/2012,UFC on FX 3 - Johnson vs. McCall
Friday,6/1/2012,FALSE,FALSE,Ultimate Fighter 15: Live Finale,6/1/2012,Ultimate Fighter 15 !The Ultimate Fighter: Live Finale,6/1/2012,The Ultimate Fighter Live,6/1/2012,The Ultimate Fighter LIVE Finale,6/1/2012,TUF Live Finale Weigh-In Results: Ellenberger vs. Kampmann,6/1/2012,UFC - The Ultimate Fighter 15 Finale
Saturday,5/26/2012,FALSE,FALSE,UFC 146: Dos Santos vs. Mir,5/26/2012,UFC 146: dos Santos vs. Mir,5/26/2012,UFC 146 Live on Pay-per-View,5/26/2012,UFC 146: Dos Santos vs Mir,5/26/2012,UFC 146 Weigh-In Results: Dos Santos vs. Mir,5/26/2012,UFC 146 - Dos Santos vs. Mir
Tuesday,5/15/2012,FALSE,FALSE,UFC on Fuel TV: Korean Zombie vs. Poirier,5/15/2012,UFC on Fuel TV: Korean Zombie vs. Poirier,5/15/2012,UFC on FUEL TV 3,5/15/2012,UFC on FUEL TV: Korean Zombie vs Poirier,5/15/2012,UFC on FUEL 3: Jung vs. Poirier Weigh-In Results,5/15/2012,UFC on Fuel TV 3 - Korean Zombie vs. Poirier
Saturday,5/5/2012,FALSE,FALSE,UFC on Fox: Diaz vs. Miller,5/5/2012,UFC on Fox: Diaz vs. Miller,5/5/2012,UFC on FOX 3,5/5/2012,UFC on FOX: Diaz vs Miller,5/5/2012,UFC on FOX 3 Weigh-In Results: Diaz vs. Miller,5/5/2012,UFC on Fox 3 - Diaz vs. Miller
Saturday,4/21/2012,FALSE,FALSE,UFC 145: Jones vs. Evans,4/21/2012,UFC 145: Jones vs. Evans,4/21/2012,UFC 145 Live on Pay-Per-View,4/21/2012,UFC 145: Jones vs Evans,4/21/2012,UFC 145 Weigh-In Results: Jones vs. Evans,4/21/2012,UFC 145 - Jones vs. Evans
Saturday,4/14/2012,FALSE,FALSE,UFC on Fuel TV: Gustafsson vs. Silva,4/14/2012,UFC on Fuel TV: Gustafsson vs. Silva,4/14/2012,UFC on FUEL TV 2,4/14/2012,UFC on FUEL TV: Gustafsson vs Silva,4/14/2012,UFC on FUEL 2 Weigh-In Results,4/14/2012,UFC on Fuel TV 2 - Gustafsson vs. Silva
Friday,3/2/2012,FALSE,FALSE,UFC on FX: Alves vs Kampmann,3/3/2012,UFC on FX: Alves vs. Kampmann,3/2/2012,UFC on FX 2,3/2/2012,UFC on FX: Alves vs Kampmann,3/2/2012,UFC on FX 2 Weigh-In Results,3/3/2012,UFC on FX 2 - Alves vs. Kampmann
Saturday,2/25/2012,FALSE,FALSE,UFC 144: Edgar vs. Henderson,2/26/2012,UFC 144: Edgar vs. Henderson,2/25/2012,UFC 144 Live on Pay-Per-View,2/25/2012,UFC 144: Edgar vs Henderson,2/25/2012,UFC 144 Weigh-In Results: Rampage Jackson Misses Weight,2/26/2012,UFC 144 - Edgar vs. Henderson
Wednesday,2/15/2012,FALSE,FALSE,UFC on Fuel TV: Sanchez vs. Ellenberger,2/15/2012,UFC on Fuel TV: Sanchez vs. Ellenberger,2/15/2012,UFC on FUEL TV 1,2/15/2012,UFC on FUEL TV: Sanchez vs Ellenberger,2/15/2012,UFC on FUEL TV Weigh-In Results,2/15/2012,UFC on Fuel TV 1 - Sanchez vs. Ellenberger
Saturday,2/4/2012,FALSE,FALSE,UFC 143: Diaz vs. Condit,2/4/2012,UFC 143: Diaz vs. Condit,2/4/2012,UFC 143 Live on Pay-Per-View,2/4/2012,UFC 143: Diaz vs Condit,2/4/2012,"UFC 143 Weigh-In Results: Diaz, Condit on Target",2/4/2012,UFC 143 - Diaz vs. Condit
Saturday,1/28/2012,FALSE,FALSE,UFC on Fox: Evans vs. Davis,1/28/2012,UFC on Fox: Evans vs. Davis,1/28/2012,UFC on FOX 2,1/28/2012,UFC on FOX: Evans vs Davis,1/28/2012,UFC on FOX 2 Weigh-In Results,1/28/2012,UFC on Fox 2 - Evans vs. Davis
Friday,1/20/2012,FALSE,FALSE,UFC on FX: Guillard vs. Miller,1/20/2012,UFC on FX: Guillard vs. Miller,1/20/2012,UFC on FX 1,1/20/2012,UFC on FX: Guillard vs Miller,1/20/2012,"UFC on FX Weigh-In Results: Guillard, Miller Both Make Weight",1/20/2012,UFC on FX - Guillard vs. Miller
Saturday,1/14/2012,FALSE,FALSE,UFC 142: Aldo vs. Mendes,1/14/2012,UFC 142: Aldo vs. Mendes,1/14/2012,UFC RIO,1/14/2012,UFC 142: Aldo vs Mendes,1/14/2012,UFC 142 Weigh-In Results,1/14/2012,UFC 142 - Aldo vs. Mendes
Friday,12/30/2011,FALSE,FALSE,UFC 141: Lesnar vs. Overeem,12/30/2011,UFC 141: Lesnar vs. Overeem,12/30/2011,UFC 141 Live on Pay-Per-View,12/30/2011,UFC 141: Lesnar vs Overeem,12/30/2011,UFC 141 Weigh-In Results,12/30/2011,UFC 141 - Lesnar vs. Overeem
Saturday,12/10/2011,FALSE,FALSE,UFC 140: Jones vs. Machida,12/10/2011,UFC 140: Jones vs. Machida,12/10/2011,UFC 140 Live on Pay-Per-View,12/10/2011,UFC 140: Jones vs Machida,12/10/2011,Jon Jones Smiles at the Haters at UFC 140 Weigh-Ins,12/10/2011,UFC 140 - Jones vs. Machida
Saturday,12/3/2011,FALSE,FALSE,Ultimate Fighter 14: Team Bisping vs. Team Miller Finale,12/3/2011,Ultimate Fighter 14 !The Ultimate Fighter: Team Bisping vs. Team Miller Finale,12/3/2011,The Ultimate Fighter 14 Finale,12/3/2011,The Ultimate Fighter 14 Finale: Team Bisping vs Team Miller,12/3/2011,Michael Bisping Makes TUF 14 Finale Weigh-Ins a Memorable Affair,12/3/2011,UFC - The Ultimate Fighter 14 Finale
,11/19/2011,FALSE,FALSE,UFC 139: Henderson vs. Shogun,11/19/2011,UFC 139: Shogun vs. Henderson,11/19/2011,UFC 139 Live on Pay-Per-View,11/19/2011,UFC 139: Shogun vs Henderson,11/19/2011,UFC 139 Weigh-In Results,11/19/2011,UFC 139 - Shogun vs. Henderson
Saturday,11/12/2011,FALSE,FALSE,UFC on Fox: Velasquez vs. dos Santos,11/12/2011,UFC on Fox: Velasquez vs. dos Santos,11/12/2011,UFC on Fox 1,11/12/2011,UFC on Fox: Velasquez vs Dos Santos,11/12/2011,UFC on FOX Weigh-In Results,11/12/2011,UFC on Fox 1 - Velasquez vs. Dos Santos
Saturday,11/5/2011,FALSE,FALSE,UFC 138: Leben vs. Muoz,11/5/2011,UFC 138: Leben vs. Muoz,11/5/2011,UFC 138,11/5/2011,UFC 138: Leben vs Munoz,11/5/2011,UFC 138 Weigh-In Results: Thiago Alves Misses Weight Again,11/5/2011,UFC 138 - Leben vs. Munoz
Saturday,10/29/2011,FALSE,FALSE,UFC 137: Penn vs. Diaz,10/29/2011,UFC 137: Penn vs. Diaz,10/29/2011,UFC 137 Live on Pay-Per-View,10/29/2011,UFC 137: Penn vs Diaz,10/29/2011,UFC 137 Weigh-In Results,10/29/2011,UFC 137 - Penn vs. Diaz
Saturday,10/8/2011,FALSE,FALSE,UFC 136: Edgar vs. Maynard III,10/8/2011,UFC 136: Edgar vs. Maynard III,10/8/2011,UFC 136 Live on Pay Per View,10/8/2011,UFC 136: Edgar vs Maynard 3,10/8/2011,UFC 136 Weigh-In Results,10/8/2011,UFC 136 - Edgar vs. Maynard 3
Saturday,10/1/2011,FALSE,FALSE,UFC Live 5: Cruz vs. Johnson,10/1/2011,UFC Live: Cruz vs. Johnson,10/1/2011,UFC LIVE 6,10/1/2011,UFC LIVE 6: Cruz vs Johnson,10/1/2011,UFC Live Cruz vs. Johnson Weigh-In Results: Both Bantamweights at 135,10/1/2011,UFC Live 6 - Cruz vs. Johnson
Saturday,9/24/2011,FALSE,FALSE,UFC 135: Jones vs. Rampage,9/24/2011,UFC 135: Jones vs. Rampage,9/24/2011,UFC 135 Live on Pay Per View,9/24/2011,UFC 135: Jones vs Rampage,9/24/2011,"UFC 135 Weigh-In Results: Jon Jones, Rampage Jackson Official for Title Fight",9/24/2011,UFC 135 - Jones vs. Rampage
Saturday,9/17/2011,FALSE,FALSE,UFC Fight Night 25: Shields vs. Ellenberger,9/17/2011,UFC Fight Night 25 !UFC Fight Night: Shields vs. Ellenberger,9/17/2011,UFC Fight Night Live,9/17/2011,UFC Fight Night Live: Shields vs Ellenberger,9/17/2011,"UFC Fight Night 25 Weigh-In Results: Jake Shields, Jake Ellenberger on Weight",9/17/2011,UFC Fight Night 25 - Shields vs. Ellenberger
Saturday,8/27/2011,FALSE,FALSE,UFC 134: Silva vs. Okami,8/27/2011,UFC 134: Silva vs. Okami,8/27/2011,UFC RIO Live on Pay-Per-View,8/27/2011,UFC 134: Silva vs Okami,8/27/2011,UFC 134 Weigh-In Results,8/27/2011,UFC 134 - Silva vs. Okami
Sunday,8/14/2011,FALSE,FALSE,UFC Live: Hardy vs. Lytle,8/14/2011,UFC Live: Hardy vs. Lytle,8/14/2011,UFC LIVE 5,8/14/2011,UFC LIVE 5: Hardy vs Lytle,8/14/2011,UFC on Versus 5 Weigh-in Results: Dan Hardy Needs Three Tries to Make Limit,8/14/2011,UFC Live 5 - Hardy vs. Lytle
Saturday,8/6/2011,FALSE,FALSE,UFC 133: Evans vs. Ortiz,8/6/2011,UFC 133: Evans vs. Ortiz,8/6/2011,UFC 133 Live on Pay-Per-View,8/6/2011,UFC 133: Evans vs Ortiz 2,8/6/2011,UFC 133 Weigh-In Results,8/6/2011,UFC 133 - Evans vs. Ortiz 2
Saturday,7/2/2011,FALSE,FALSE,UFC 132: Cruz vs. Faber,7/2/2011,UFC 132: Cruz vs. Faber,7/2/2011,UFC 132,7/2/2011,UFC 132: Cruz vs Faber,7/2/2011,UFC 132 Weigh-In Results,7/2/2011,UFC 132 - Cruz vs. Faber 2
Sunday,6/26/2011,FALSE,FALSE,UFC Live 4: Kongo vs. Barry,6/26/2011,UFC Live: Kongo vs. Barry,6/26/2011,UFC Live on Versus,6/26/2011,UFC Live on Versus: Kongo vs Barry,6/26/2011,UFC on Versus 4 Weigh-In Results,6/26/2011,UFC Live 4 - Kongo vs. Barry
Saturday,6/11/2011,FALSE,FALSE,UFC 131: dos Santos vs. Carwin,6/11/2011,UFC 131: dos Santos vs. Carwin,6/11/2011,UFC 131,6/11/2011,UFC 131: Dos Santos vs Carwin,6/11/2011,UFC 131 Weigh-In Results,6/11/2011,UFC 131 - Dos Santos vs. Carwin
Saturday,6/4/2011,FALSE,FALSE,Ultimate Fighter 13: Team Lesnar vs. Team dos Santos Finale,6/4/2011,Ultimate Fighter 13 !The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,6/4/2011,The Ultimate Fighter Finale,6/4/2011,The Ultimate Fighter Finale: Team Lesnar vs Team Dos Santos,6/4/2011,TUF 13 Finale Weigh-In Results,6/4/2011,UFC - The Ultimate Fighter 13 Finale
Saturday,5/28/2011,FALSE,FALSE,UFC 130: Rampage vs. Hamill,5/28/2011,UFC 130: Rampage vs. Hamill,5/28/2011,UFC 130,5/28/2011,UFC 130: Rampage vs Hamill,5/28/2011,UFC 130 Weigh-in Results,5/28/2011,UFC 130 - Rampage vs. Hamill
Saturday,4/30/2011,FALSE,FALSE,UFC 129: St-Pierre vs. Shields,4/30/2011,UFC 129: St-Pierre vs. Shields,4/30/2011,UFC 129,4/30/2011,UFC 129: St-Pierre vs Shields,4/30/2011,UFC 129 Weigh-In Results,4/30/2011,UFC 129 - St. Pierre vs. Shields
Saturday,3/26/2011,FALSE,FALSE,UFC Fight Night 24: Nogueira vs. Davis,3/26/2011,UFC Fight Night 24 !UFC Fight Night: Nogueira vs. Davis,3/26/2011,UFC Fight Night Live,3/26/2011,UFC Fight Night Live: Nogueira vs Davis,3/26/2011,UFC Fight Night 24 Weigh-In Results,3/26/2011,UFC Fight Night 24 - Nogueira vs. Davis
Saturday,3/19/2011,FALSE,FALSE,UFC 128: Shogun vs. Jones,3/19/2011,UFC 128: Shogun vs. Jones,3/19/2011,UFC 128,3/19/2011,UFC 128: Shogun vs Jones,3/19/2011,UFC 128 Weigh-In Results,3/19/2011,UFC 128 - Shogun vs. Jones
Thursday,3/3/2011,FALSE,FALSE,UFC Live 3: Sanchez vs. Kampmann,3/3/2011,UFC Live: Sanchez vs. Kampmann,3/3/2011,UFC on VERSUS,3/3/2011,UFC on VERSUS: Sanchez vs Kampmann,3/3/2011,UFC on Versus 3 Weigh-In Results,3/3/2011,UFC Live 3 - Sanchez vs. Kampmann
Saturday,2/26/2011,FALSE,FALSE,UFC 127: Penn vs. Fitch,2/27/2011,UFC 127: Penn vs. Fitch,2/26/2011,UFC 127,2/26/2011,UFC 127: Penn vs Fitch,2/26/2011,UFC 127 Weigh-In Results,2/27/2011,UFC 127 - Penn vs. Fitch
Saturday,2/5/2011,FALSE,FALSE,UFC 126: Silva vs. Belfort,2/5/2011,UFC 126: Silva vs. Belfort,2/5/2011,UFC 126,2/5/2011,UFC 126: Silva vs Belfort,2/5/2011,UFC 126 Weigh-In Results,2/5/2011,UFC 126 - Silva vs. Belfort
Saturday,1/22/2011,FALSE,FALSE,UFC Fight Night 23: Fight for the Troops 2,1/22/2011,UFC Fight Night 23 !UFC: Fight for the Troops 2,1/22/2011,UFC Fight for the Troops 2,1/22/2011,UFC Fight Night: Fight for the Troops 2,1/22/2011,UFC Fight for the Troops 2 Weigh-In Results,1/22/2011,UFC Fight Night 23 - Fight for the Troops 2
Saturday,1/1/2011,FALSE,FALSE,UFC 125: Resolution,1/1/2011,UFC 125: Resolution,1/1/2011,UFC 125,1/1/2011,UFC 125: Resolution,1/1/2011,UFC 125 Weigh-In Results,1/1/2011,UFC 125 - Resolution
Thursday,12/16/2010,FALSE,FALSE,WEC 53: Henderson vs. Pettis,12/16/2010,,12/16/2010,,12/16/2010,,12/16/2010,,12/16/2010,WEC 53 - Henderson vs. Pettis
Saturday,12/11/2010,FALSE,FALSE,UFC 124: St-Pierre vs. Koscheck 2,12/11/2010,UFC 124: St-Pierre vs. Koscheck 2,12/11/2010,UFC 124,12/11/2010,UFC 124: St-Pierre vs Koscheck 2,12/11/2010,UFC 124 Weigh-In Results,12/11/2010,UFC 124 - St. Pierre vs. Koscheck 2
